CustomerID,Recency,Frequency,Monetary,Country,Cluster,Segment
12346.0,326,2,0.0,United Kingdom,2,Potential
12347.0,2,7,4310.0,Iceland,1,Loyal
12348.0,75,4,1797.24,Finland,1,Loyal
12349.0,19,1,1757.55,Italy,1,Loyal
12350.0,310,1,334.4,Norway,2,Potential
12352.0,36,11,1545.41,Norway,1,Loyal
12353.0,204,1,89.0,Bahrain,2,Potential
12354.0,232,1,1079.4,Spain,2,Potential
12355.0,214,1,459.4,Bahrain,2,Potential
12356.0,23,3,2811.43,Portugal,1,Loyal
12357.0,33,1,6207.67,Switzerland,1,Loyal
12358.0,2,2,1168.06,Austria,1,Loyal
12359.0,8,6,6245.53,Cyprus,1,Loyal
12360.0,52,3,2662.06,Austria,1,Loyal
12361.0,287,1,189.9,Belgium,2,Potential
12362.0,3,13,5154.58,Belgium,1,Loyal
12363.0,110,2,552.0,Unspecified,1,Loyal
12364.0,8,4,1313.1,Belgium,1,Loyal
12365.0,291,3,320.69,Cyprus,2,Potential
12367.0,4,1,168.9,Denmark,1,Loyal
12370.0,51,4,3545.69,Cyprus,1,Loyal
12370.0,51,4,3545.69,Austria,1,Loyal
12371.0,45,2,1887.96,Switzerland,1,Loyal
12372.0,72,3,1298.04,Denmark,1,Loyal
12373.0,311,1,364.6,Austria,2,Potential
12374.0,25,1,742.9300000000001,Austria,1,Loyal
12375.0,3,3,455.42,Finland,1,Loyal
12377.0,315,2,1628.12,Switzerland,2,Potential
12378.0,130,1,4008.62,Switzerland,1,Loyal
12379.0,82,3,850.29,Belgium,1,Loyal
12380.0,22,5,2720.56,Belgium,1,Loyal
12381.0,5,6,1803.96,Norway,1,Loyal
12383.0,185,6,1839.31,Belgium,2,Potential
12384.0,29,3,566.16,Switzerland,1,Loyal
12386.0,338,2,401.9,Australia,2,Potential
12388.0,16,6,2780.66,Australia,1,Loyal
12390.0,80,1,549.84,Belgium,1,Loyal
12391.0,22,1,460.89,Cyprus,1,Loyal
12393.0,72,4,1582.6000000000001,Australia,1,Loyal
12394.0,64,2,1272.48,Belgium,1,Loyal
12394.0,64,2,1272.48,Denmark,1,Loyal
12395.0,16,15,2998.28,Belgium,1,Loyal
12397.0,36,2,2409.9,Belgium,1,Loyal
12398.0,46,1,1635.6599999999999,Switzerland,1,Loyal
12399.0,119,4,1108.65,Belgium,1,Loyal
12401.0,303,1,84.3,Belgium,2,Potential
